C 2 157.636m
N 2 121.767m
N 2 205.244m
N 3 57.3238m
O 1 63.1679m
O 1 145.495m
O 3 51.8004m
O 3 88.3323m
O 4 25.8832m
CO  2600.05m
CO  1300.05m
CO  866.727m
CO  650.074m
CO  520.089m
CO  433.438m
CO  371.549m
"^13CO"  2719.67m
"^13CO"  1359.86m
"^13CO"  906.599m
"^13CO"  679.978m
HCO+  3360.43m
HCO+  1680.21m
HCO+  1120.18m
HCO+  840.150m
HCO+  672.144m
HCO+  560.140m
HCN  3381.44m
HCN  3381.58m
HCN  3381.52m
HCN  1690.82m
HCN  1690.78m
HCN  1690.80m
HCN  1127.22m
HCN  845.428m
HCN  676.373m
HCN  563.665m
HCN  483.168m
HCN  422.796m
HCN  375.844m
